url,tipo,descripcion,servicios,datos_contacto,sede
,         Fútbol 5 y 7,        TORNEO CORSINI LIBERTADORES FÚTBOL 7 .    JUGÁ LA COPA LIBERTADORES DEL BARRIO JUNTO A TUS AMIGOS .  SEDE A JUGARSE QUE GOLAZO !  PREMIOS TODAS LAS FECHAS .  PELOTAS NUEVAS SIEMPRE .  SI NO TENES CAMISETA TE PRESTAMOS .  SEGURIDAD CON CÁMARAS LAS 24 hs .  EMERGENCIA MÉDICA .    DÍAS DEL TORNEO MARTES (NOCTURNO) MIÉRCOLES (NOCTURNO) SÁBADOS (VESPERTINO) DOMINGO (VESPERTINO).,"      Vestuarios,    Bar / Restaurante,    Ayuda Médica ,    Parrilla"," Tel.: 11-5029-6736               Fútbol 5 y 7              TORNEO CORSINI LIBERTADORES FÚTBOL 7 .    JUGÁ LA COPA LIBERTADORES DEL BARRIO JUNTO A TUS AMIGOS .  SEDE A JUGARSE QUE GOLAZO !  PREMIOS TODAS LAS FECHAS .  PELOTAS NUEVAS SIEMPRE .  SI NO TENES CAMISETA TE PRESTAMOS .  SEGURIDAD CON CÁMARAS LAS 24 hs .  EMERGENCIA MÉDICA .    DÍAS DEL TORNEO MARTES (NOCTURNO) MIÉRCOLES (NOCTURNO) SÁBADOS (VESPERTINO) DOMINGO (VESPERTINO).           Vestuarios,    Bar / Restaurante,    Ayuda Médica ,    Parrilla           ver todas                          ",1 Sedes:  - Sede Libertad: Merlo 
,         Fútbol 11,"        El Torneo Nacional de Fútbol Amateur reunirá a selectivos de diferentes torneos de fútbol amateur del país.    El foco está en integrar con el fin de fortalecer valores tales como: amistad, convivencia, respeto, tolerancia, conducta deportiva y un verdadero espíritu amateur.","      Vestuarios,    Bar / Restaurante,    Escuelita de Fútbol,    Cumpleaños,    Salón de Eventos", Tel.:  03492 66-4707 Web: www.facebook.com/tnfa.argentina,1 Sedes:  - Sede Rafaela: Complejo La Redó 
,         Fútbol 6,"        Torneo de futbol 6 masculino en Capital Federal, todo tipo de locomoción cerca, canchas techadas, estacionamiento sin cargo, vestuarios completos y bar. Disfrutá tus sábados de futbol con amigos y los mejores premios. Contamos con galería de fotos de todos los equipos y partidos, entrevistas a jugadores para verlas en las redes mas importantes, premio a mejor goleador de cada jornada. Torneos relámpagos para que tengas un trofeo por mes.    NO TENES EXCUSAS!!!!    TE ESPERAMOS!!!    GOL CITY  EVENTOS DEPORTIVOS","      Vestuarios,    Bar / Restaurante,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    ", Tel.: 01162563913 Web: https://www.facebook.com/Gol-City-Eventos-Deportivos-1576112396017473,1 Sedes:  - Sede San Cristobal: Solís Cano Tenis Fútbol 
,         Fútbol 5,"        U Champ es el Punto de Encuentro para jóvenes entre 18 y 30 años, jugándose los días sábados de 16hs a 20hs, fútbol 5 tanto masculino como femenino, en la sede KDT.  U Champ es la mejor opción para todos los jóvenes que eligen jugar al fútbol los fines de semana. Actualmente está de moda jugar al fútbol en Zona Norte, nosotros somos el torneo de jóvenes de Capital Federal. Más cerca, mejor experiencia, menos viaje.","      Vestuarios,    Bar / Restaurante,    Torneos,    Estacionamiento"," Tel.: 1164116479               Fútbol 5              U Champ es el Punto de Encuentro para jóvenes entre 18 y 30 años, jugándose los días sábados de 16hs a 20hs, fútbol 5 tanto masculino como femenino, en la sede KDT.  U Champ es la mejor opción para todos los jóvenes que eligen jugar al fútbol los fines de semana. Actualmente está de moda jugar al fútbol en Zona Norte, nosotros somos el torneo de jóvenes de Capital Federal. Más cerca, mejor experiencia, menos viaje.           Vestuarios,    Bar / Restaurante,    Torneos,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Palermo: Canchas Doble 5 KDT 
,         Fútbol 5,        Futbol 5   Futbol Sub 21   Futbol Femenino  Premios en efectivo,"      Vestuarios,    Bar / Restaurante,    Estacionamiento", Tel.: 1155251567 Web: www.facebook.com/torneostikitiki,1 Sedes:  - Sede Martínez: Futbol Point 
,         Fútbol 5 y 11,        Torneo de Fútbol 11 y fútbol 5 en Caballito,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    Estacionamiento,    Seguridad,    TV"," Tel.: 15 6518 6090               Fútbol 5 y 11              Torneo de Fútbol 11 y fútbol 5 en Caballito           Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    Estacionamiento,    Seguridad,    TV           ver todas   fotos                                      ",1 Sedes:  - Sede Caballito: Caballito Norte 
,"         Fútbol 6, 7 y 8","        Conde Futbol es una organización de eventos deportivos dedicados hace 10 años. Priorizando el juego limpio, el respeto por las Reglas y  el disfrute del Juego.  Mas de 500 equipos ya formaron parte de nuestros campeonatos semanales disfrutando de este hermoso deporte.  Actualmente contamos con torneos de fútbol 6, 7,y 8. Estableciendo como sedes Complejo Green Park, Indoor 7 y Area 7  Los torneos se disputan los días sábados por la tarde, domingos todo el día,y entre semana los días jueves. En cada sede contamos con amplias instalaciones, vestuarios, confitería, estacionamiento privado.  En cada TORNEO no solo se premia al Campeón de los mismos, sino también valoramos el juego limpio, goleadores y valla menos vencida  Si buscas divertirte en un clima de amigos y buen futbol sumate a nuestros torneos.","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños", Tel.: 2235607135 Web: http://condefutbol.com/,1 Sedes:  - Sede Mar del Plata: Mar del Plata 
,         Fútbol 5 y 8,"        Categorias: Senior (+30), Sabado( A,B y C) , Domingo ( A, B y C) y Semanal ( A y B).  F5 (Femenino)","      Vestuarios,    Gimnasio,    Bar / Restaurante,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Parrilla", Tel.: 1155279111 Web: www.elandenclub.com.ar,2 Sedes:  - Sede Caballito: El Andén - Sede Parque Avellaneda: Club Alvear 
,         Fútbol 5,"        Hola a todos los equipos !!!  Nos ubicamos en la zona de Devoto/Floresta y organizamos torneos de fútbol 5 (edad libre).   Hoy por hoy contamos con cuatros torneos, alrededor de 20 equipos cada uno. Los esperamos para que formen parte de nuestros torneos y se diviertan junto a nosotros, haciendo lo que mas nos gusta, JUGAR AL FUTBOL.","      Vestuarios,    Bar / Restaurante,    Ayuda Médica ,    Torneos,    Cumpleaños,    Parrilla,    Escuelita de Fútbol,    Colegios"," Tel.: 1166257278               Fútbol 5              Hola a todos los equipos !!!  Nos ubicamos en la zona de Devoto/Floresta y organizamos torneos de fútbol 5 (edad libre).   Hoy por hoy contamos con cuatros torneos, alrededor de 20 equipos cada uno. Los esperamos para que formen parte de nuestros torneos y se diviertan junto a nosotros, haciendo lo que mas nos gusta, JUGAR AL FUTBOL.           Vestuarios,    Bar / Restaurante,    Ayuda Médica ,    Torneos,    Cumpleaños,    Parrilla,    Escuelita de Fútbol,    Colegios           ver todas   fotos                                                     ",2 Sedes:  - Sede Monte Castro: Don Benito - Sede Velez Sarsfield: Don Balon 
,"         Fútbol 5, 7 y 8",        Torneo de Fútbol 7 y 8 en San martín: Domingos por la mañana  Ciudadela: sábados y domingos por la mañana fútbol 8 mayores de 30 y mayores de 25,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Ayuda Médica ,    Estacionamiento"," Tel.: 1163604038               Fútbol 5, 7 y 8              Torneo de Fútbol 7 y 8 en San martín: Domingos por la mañana  Ciudadela: sábados y domingos por la mañana fútbol 8 mayores de 30 y mayores de 25           Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Ayuda Médica ,    Estacionamiento           ver todas                          ",3 Sedes:  - Sede Ciudadela: Oeste Futbol - Sede Villa Lynch: San Martín - Sede Llavallol: Llavallol 
,         Fútbol 5 y 8,"        ORGANIZAMOS TORNEOS DE FÚTBOL 5 Y 8 MASCULINOS Y FÚTBOL 5 FEMENINO. NUESTRA SEDE ES CLUB GEBA, UBICADO EN AV. FIGUEROA ALCORTA 5550.","      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Parrilla,    Estacionamiento"," Tel.: 1531780708 o 1557032859               Fútbol 5 y 8              ORGANIZAMOS TORNEOS DE FÚTBOL 5 Y 8 MASCULINOS Y FÚTBOL 5 FEMENINO. NUESTRA SEDE ES CLUB GEBA, UBICADO EN AV. FIGUEROA ALCORTA 5550.           Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Parrilla,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Palermo: Geba 
,         Fútbol 5,        Torneos de Fútbol 5 Intercolegiales y mayores.,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Colegios,    Parrilla,    Estacionamiento,    Seguridad,    WiFi,    TV", Tel.: 11-5403-2663 Web: http://tifa.datafutbol.net/,1 Sedes:  - Sede Nuñez: Nuñez 
,"         Fútbol 5, 8 y 11","        Torneo de Fútbol 5, 8 y 11 en el Campo de Deportes Jorge Newbery.    Dicho campeonato contará con árbitros, veedor, filmaciones de los partidos, una web especial con resultados y estadísticas, grandes premios y estacionamiento especial.","      Vestuarios,    Estacionamiento,    Seguridad", Tel.: 11-3702-4969 o al 11-3016-4848 Web: torneosjorgenewbery.com,1 Sedes:  - Sede Flores: Quemita 
,         Fútbol 8,"        Torneo de Fútbol 8, con categoría Sub 18 y mayores. Los mejores premios, precios, canchas, árbitros de liga, servicio de emergencia médica, fotografía profesional, entre otros, nos convierten en una de las mejores opciones al momento de elegir un Torneo en Capital Federal. Nuestra mejor referencia son nuestros jugadores.","      Vestuarios,    Bar / Restaurante,    Estacionamiento"," Tel.: 1141755357               Fútbol 8              Torneo de Fútbol 8, con categoría Sub 18 y mayores. Los mejores premios, precios, canchas, árbitros de liga, servicio de emergencia médica, fotografía profesional, entre otros, nos convierten en una de las mejores opciones al momento de elegir un Torneo en Capital Federal. Nuestra mejor referencia son nuestros jugadores.           Vestuarios,    Bar / Restaurante,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Palermo: Fútbol Noble 
,         Fútbol 7,"        En Copa Rey del Sur contamos con un torneo semanal de 96 equipos divididos en tres categorías A (Champions) B (Libetadores) y C (Copa CRS).  Además de la Copa Argentina CRS, en la que se juntan los equipos de las tres divisiones.  También contamos con un torneo los días sábados, el Mundial Fútbol 7 CRS, donde compiten 24 equipos por la copa más preciada.  No dejes pasar la oportunidad de jugar en el torneo más competitivo de zona sur, gran nivel de equipos","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol"," Tel.: 116-996-6513               Fútbol 7              En Copa Rey del Sur contamos con un torneo semanal de 96 equipos divididos en tres categorías A (Champions) B (Libetadores) y C (Copa CRS).  Además de la Copa Argentina CRS, en la que se juntan los equipos de las tres divisiones.  También contamos con un torneo los días sábados, el Mundial Fútbol 7 CRS, donde compiten 24 equipos por la copa más preciada.  No dejes pasar la oportunidad de jugar en el torneo más competitivo de zona sur, gran nivel de equipos           Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol           ver todas   fotos                                           ",1 Sedes:  - Sede Avellaneda: Gerli 
,         Fútbol 5,"        El mejor torneo de zona sur, resumenes filmados, cantidad y variedad de premios. Cancha de excelentes dimensiones para una mejor jugabilidad.  Sabados y Domingos, masculino y femenino. Semanales sub 16!","      Vestuarios,    Bar / Restaurante,    Torneos,    TV", Tel.: 011 5158-3917 Web: https://www.facebook.com/lafabricafutbol5/,1 Sedes:  - Sede Bernal: La Fábrica 
,         Fútbol 11,"        Somos una liga de fútbol amateur integrada por 124 equipos distribuidos en 5 divisiones libres y 2 mayores de 30 años. Los partidos se disputan en nuestros predios Cindy (cuenta con cuatro canchas) y Estación Parera (diez campos de juego) que poseen las mejores canchas de fútbol 11 de la región. Entrenando en nuestros predios equipos como River, Godoy Cruz, Colon de Santa Fe, Atlético Paraná, entre otros.",      Torneos, Tel.: (0343) 155009999 Web: http://ligaaltosdelparacao.com/chronicles,2 Sedes:  - Sede Paraná: Estación Parera - Sede Paraná: Cindy Canchas 
,"         Fútbol 5, 9 y 11","        Torneo Amateur de Futbol 5, 9 y 11 libre para todo público y cuya finalidad es potenciar los valores del fútbol amateur","      Vestuarios,    Bar / Restaurante,    Cumpleaños,    Parrilla,    Gimnasio,    Torneos,    Escuelita de Fútbol,    Estacionamiento", Tel.: 221 15 5448299 Web: www.torneoathletic.com,2 Sedes:  - Sede La Plata: Predio 44 - Paraje el Retiro - Sede La Plata: Athletic Complejo Deportivo 
,"         Fútbol 5, 7, 8, 9 y 11",        Pedí el reglamento y más información por Whatsapp,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento", Tel.: 3518189349 Web: www.instagram.com/torneol10,1 Sedes:  - Sede Córdoba: Corazon de Maria 
,         Fútbol 5 y 8,"        OFRECEMOS TORNEOS DIVERSOS EN ZONA OESTE CATEGORIA LIBRE A DETALLAR    * HAEDO - FUTBOL 6 BALDOSA - SABADOS y DOMINGOS, SEDE  ATENEO SAGRADA FAMILIA, CATEGORIAS A y B    *PALOMAR - FUTBOL 5 SINTETICO - MIERCOLES POR LA NOCHE, SEDE LA ROSALEDA - PALOMAR    * LOMAS DEL MIRADOR - FUTBOL 5 SINTETICO - JUEVES POR LA NOCHE - SEDE VOLVER AL POTRERO    * SAN JUSTO - FUTBOL 5 SINTETICO - LUNES POR LA NOCHE - SEDE EL PUENTE FC    * SAN JUSTO - FUTBOL 5 SINTETICO - MARTES POR LA NOCHE - SEDE LA ROSALEDA - SAN JUSTO    * SAN JUSTO - FUTBOL 5 SINTETICO - MIERCOLES POR LA NOCHE, SEDE LA REVANCHA     * SAN JUSTO - FUTBOL 8 SINTETICO - SABADOS POR LA TARDE - SEDE LA ROSALEDA - SAN JUSTO    * SAN JUSTO - FUTBOL 8 SINTETICO - MARTES POR LA NOCHE - SEDE LA ROSALEDA - SAN JUSTO    * SAN JUSTO - TORNEO DE PENALES ARCO F8 - SEDE LA REVANCHA       TODOS NUESTROS TORNEOS SON CON SISTEMA DE LIGA MAS PLAY OFF    LIGA DE ARBITROS  PREMIOS SEMANALES  JUEGO DE CAMISETAS PARA EL CAMPEON  Y VARIAS COSAS MAS","      Vestuarios,    Torneos,    Parrilla,    Bar / Restaurante,    Cumpleaños,    Estacionamiento,    Escuelita de Fútbol"," Tel.: 1159224517               Fútbol 5 y 8              OFRECEMOS TORNEOS DIVERSOS EN ZONA OESTE CATEGORIA LIBRE A DETALLAR    * HAEDO - FUTBOL 6 BALDOSA - SABADOS y DOMINGOS, SEDE  ATENEO SAGRADA FAMILIA, CATEGORIAS A y B    *PALOMAR - FUTBOL 5 SINTETICO - MIERCOLES POR LA NOCHE, SEDE LA ROSALEDA - PALOMAR    * LOMAS DEL MIRADOR - FUTBOL 5 SINTETICO - JUEVES POR LA NOCHE - SEDE VOLVER AL POTRERO    * SAN JUSTO - FUTBOL 5 SINTETICO - LUNES POR LA NOCHE - SEDE EL PUENTE FC    * SAN JUSTO - FUTBOL 5 SINTETICO - MARTES POR LA NOCHE - SEDE LA ROSALEDA - SAN JUSTO    * SAN JUSTO - FUTBOL 5 SINTETICO - MIERCOLES POR LA NOCHE, SEDE LA REVANCHA     * SAN JUSTO - FUTBOL 8 SINTETICO - SABADOS POR LA TARDE - SEDE LA ROSALEDA - SAN JUSTO    * SAN JUSTO - FUTBOL 8 SINTETICO - MARTES POR LA NOCHE - SEDE LA ROSALEDA - SAN JUSTO    * SAN JUSTO - TORNEO DE PENALES ARCO F8 - SEDE LA REVANCHA       TODOS NUESTROS TORNEOS SON CON SISTEMA DE LIGA MAS PLAY OFF    LIGA DE ARBITROS  PREMIOS SEMANALES  JUEGO DE CAMISETAS PARA EL CAMPEON  Y VARIAS COSAS MAS           Vestuarios,    Torneos,    Parrilla,    Bar / Restaurante,    Cumpleaños,    Estacionamiento,    Escuelita de Fútbol           ver todas   fotos                                                     ",4 Sedes:  - Sede San Justo: La Revancha Fútbol - Sede San Justo: El Puente Fc - Sede El Palomar: La Rosaleda - Sede Lomas del Mirador: Volver al Potrero 
,         Fútbol 5 y 6,"        Somos una organización joven y dinámica dedicada a la organización de competencias deportivas. Actualmente nos dedicamos a la realización de competencias de fútbol masculino, Sub 23.  Para mas información no dudes en contactarnos.","      Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Parrilla"," Tel.: 1553205708               Fútbol 5 y 6              Somos una organización joven y dinámica dedicada a la organización de competencias deportivas. Actualmente nos dedicamos a la realización de competencias de fútbol masculino, Sub 23.  Para mas información no dudes en contactarnos.           Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Parrilla           ver todas                          ",1 Sedes:  - Sede Floresta: 3 Puntos 
,         Fútbol 5,        Se juega los días Domingos!,"      Vestuarios,    Bar / Restaurante"," Tel.: 1144061208               Fútbol 5              Se juega los días Domingos!           Vestuarios,    Bar / Restaurante           ver todas                          ",1 Sedes:  - Sede Ramos Mejia: Lawn Tennis Fútbol Ramos Mejía 
,         Fútbol 5,"        Torneo de Fútbol 5 en Saavedra - Coghlan. Los martes de 20 a 22. Sede obras fútbol, machain 3480. COPA DIEGO ARMANDO MARADONA! TODOS contra TODOS! ARRANCA EL 29 DE AGOSTO.","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    WiFi,    TV,    Salón de Eventos"," Tel.: 1132614424               Fútbol 5              Torneo de Fútbol 5 en Saavedra - Coghlan. Los martes de 20 a 22. Sede obras fútbol, machain 3480. COPA DIEGO ARMANDO MARADONA! TODOS contra TODOS! ARRANCA EL 29 DE AGOSTO.           Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    WiFi,    TV,    Salón de Eventos           ver todas                          ",1 Sedes:  - Sede Coghlan: Obras Fútbol 
,         Fútbol 5,        Torneos de Fútbol 5 · Sede Barracas - Masculino y Femenino Sede Pilar - Masculino,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Estacionamiento", Tel.: +54 9 11 6948-7436⁠ Web: http://oncebofos.com.ar/,1 Sedes:  - Sede Barracas: Vieytes 
,         Fútbol 8,"        Torneo de fútbol 8, los días sábados (franja horaria: 15 - 19 hs) con  modalidad de liga, grandes premios para campeón y subcampeón más  premios semanales: jugador de la fecha, goleador, valla menos vencida.  Excelentes fotos y reportajes semanales. Predio techado, con canchas  de pasto sintético. La mejor buena onda del personal. Consulta por la  inscripción de tu equipo en nuestra cuenta de Instagram: @torneos_orsai","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Estacionamiento", Tel.: 1555738522 Web: www.instagram.com/torneos_orsai,1 Sedes:  - Sede Barracas: Fútbol Vieytes 
,         Fútbol 5,        TORNEO APERTURA Y CLAUSURA DE FUTBOL  ESTAMOS EN LA BUSQUEDA DE EQUIPOS DE FUTBOL 5 PARA NUEVO TORNEO A DESARROLLARSE.  BAJO COSTOS Y BUENOS PREMIOS A LOS CAMPEONES.  INTERESADOS  COMUNICARSE POR MAIL AMINNOVATIONMC@OUTLOOK.COM,"      Bar / Restaurante,    Gimnasio,    Vestuarios,    Escuelita de Fútbol,    Ayuda Médica "," Tel.: 01154561111               Fútbol 5              TORNEO APERTURA Y CLAUSURA DE FUTBOL  ESTAMOS EN LA BUSQUEDA DE EQUIPOS DE FUTBOL 5 PARA NUEVO TORNEO A DESARROLLARSE.  BAJO COSTOS Y BUENOS PREMIOS A LOS CAMPEONES.  INTERESADOS  COMUNICARSE POR MAIL AMINNOVATIONMC@OUTLOOK.COM           Bar / Restaurante,    Gimnasio,    Vestuarios,    Escuelita de Fútbol,    Ayuda Médica            ver todas                          ",1 Sedes:  - Sede Abasto: Open Gallo 
,,        Torneos dedicados al deporte campeón del mundo.  Días Martes y Viernes de 20 a 23hs.  Increíbles Premios.  Árbitros AFA capacitados y experimentados en fútbol de salón.,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños"," Tel.: 01166257278                   Torneos dedicados al deporte campeón del mundo.  Días Martes y Viernes de 20 a 23hs.  Increíbles Premios.  Árbitros AFA capacitados y experimentados en fútbol de salón.           Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños           ver todas                          ",1 Sedes:  - Sede Boedo: Federación Caballito 
,"         Fútbol 5, 6, 8, 9 y 11","        Todo lo que buscas en un torneo. 6-10 o hace posible. Vení a jugarlo, días de semana y fin de semana.       ","      Vestuarios,    Bar / Restaurante,    Torneos,    Estacionamiento", Tel.: Whatsapp: 1160981876 Web: www.facebook.com/seisdieztorneos,1 Sedes:  - Sede San Justo: Mega Fútbol San Justo 
,         Fútbol 5,        Todo x Abajo te invita a que juegues un torneo de calidad.  Con premios para primer y segundo puesto de la A y B. Premio para goleador y para mejor arquero. Premios para los mejores jugadores del mes y del Torneo.  Dias: domingos y Miercoles,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Parrilla"," Tel.: 1551789224               Fútbol 5              Todo x Abajo te invita a que juegues un torneo de calidad.  Con premios para primer y segundo puesto de la A y B. Premio para goleador y para mejor arquero. Premios para los mejores jugadores del mes y del Torneo.  Dias: domingos y Miercoles           Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Parrilla           ver todas                          ",1 Sedes:  - Sede San Cristobal:  
,"         Fútbol 5, 6, 7, 8, 9 y 11","        Open Fútbol Torneos de Fútbol 11, 7 y 5, en césped Natural y sintético en Zona Norte, Sur, Oeste y Capital, al alcance de todos, con las mejores complejos zonales.  Nuestros torneos son seguidos en nuestras Redes sociales, Instagram, Facebook, Twitter y a travez de nuestro sitio Web www.openfutbol.com.ar","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento,    Colegios,    TV,    Ayuda Médica ", Tel.:  11 4836-1772  Web: www.openfutbol.com.ar,9 Sedes:  - Sede Garin: Las Palmas - Sede Nuñez: OBSBA - Sede Agronomía: Futbol Comu - Sede Palermo: Circuito K.D.T - Sede Olivos: Olivos Fútbol - Sede Benavidez: Ranch Sports - Sede Villa Lynch: Fútbol San Martín - Sede Llavallol: Mega Fútbol Llavallol - Sede Belgrano: Distrito Fútbol 
,         Fútbol 11,        torneos de futbol 11 edad libre,"      Vestuarios,    Torneos,    Ayuda Médica ,    Parrilla", Tel.: 1161827878 Web: www.sportevents.com.ar,1 Sedes:  - Sede Florencio Varela: Florencio Varela 
,         Fútbol 5,"        A partir de marzo se juega el torneo de fútbol 5 ""Copa Esvangi"". Con sede en Belaustegui 553 los sabados de 19 a 23. Un torneo que no se supende por lluvia, cuenta con premios en viajes y precios INCREIBLES. Contactanos y enterate de los beneficios exclusivos de nuestro torneo.","      Vestuarios,    Bar / Restaurante,    Estacionamiento", Tel.: 15-5851-4216 Web: https://esvangitorneos.blogspot.com.ar/,1 Sedes:  - Sede Villa Crespo: Complejo Belaustegui 
,         Fútbol 5 y 8,        Futbol 8 y Futbol 5. Dias: Sábados y Domingos. Categoría: Sub19 y Egresados.,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento,    Seguridad,    Escuelita de Fútbol,    Cumpleaños,    Colegios,    WiFi,    TV", Tel.: 1168057001 Web: www.liganunez.futbol,2 Sedes:  - Sede Nuñez: Estadio Obras Sanitarias - Sede Nuñez: GRUN 
,         Fútbol 5,"        Fútbol de Salón Banade es una fusión entre futsal y baby-fútbol para mayores de 50 años, mayores de 35 y mayores de 18. Jugamos de martes a viernes a partir de las 20 hs. y sabados a partir de las 14 hs.","      Vestuarios,    Gimnasio,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Parrilla,    Estacionamiento,    Seguridad"," Tel.: 15-6245-0733               Fútbol 5              Fútbol de Salón Banade es una fusión entre futsal y baby-fútbol para mayores de 50 años, mayores de 35 y mayores de 18. Jugamos de martes a viernes a partir de las 20 hs. y sabados a partir de las 14 hs.           Vestuarios,    Gimnasio,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Parrilla,    Estacionamiento,    Seguridad           ver todas                          ",1 Sedes:  - Sede Martínez: Banade 
,         Fútbol 5,        Torneo de fútbol 5 de la ciudad de Rosario desde 2012 -   Liga Femenina y Liga Masculina,      Estacionamiento, Tel.: 0341 635-1256 Web: www.instagram.com/torneo_afa_rosario/,1 Sedes:  - Sede Rosario: Heroes Fútbol 5 
,         Fútbol 7,"        Al amante del fútbol que se acerque a participar, ya que es un espacio para divertirse, para pasarla bien y más allá de que es competitivo, es muy ordenado y respetuoso","      Bar / Restaurante,    Estacionamiento", Tel.: (0351) 157 656934 Web: http://lavendettadel10.com.ar/,2 Sedes:  - Sede Córdoba: Córdoba - Sede Barrio Argüello: Córdoba 
,         Fútbol 7,        Torneo de Fútbol 7 ,"      Bar / Restaurante,    Estacionamiento",,1 Sedes:  - Sede Córdoba: Córdoba 
,         Fútbol 5 y 7,        PREMIOS  -Viajes a Bariloche  -Viajes a las sierras de cordoba  -Camisetas  -Trofeos  -Fernets  -Asados,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad", Tel.: 0351 340-3927 Web: https://www.facebook.com/TorneoDellaTesta%20/,1 Sedes:  - Sede Córdoba: Fanáticos Fútbol 
,"         Fútbol 7, 8 y 11","        Torneos de fútbol 7, 8 y 11","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Parrilla,    Estacionamiento,    Cumpleaños,    Seguridad,    TV", Tel.: 1123068731  Web: www.facebook.com/torneotocoymevoyamateur,3 Sedes:  - Sede Quilmes: La Quinta Quilmes - Sede Quilmes Oeste: Estación Fútbol - Sede Berazategui: Predio Le Monique 
,         Fútbol 5 y 8,"        Grun FC lanza este 2018 su propio torneo que tendrá lugar los días jueves por la noche a partir de Agosto y hasta el mes de Noviembre.  Se jugarán desde las 20 hs en adelante 3 torneos: FUTBOL 8 Masculino  FUTBOL 5 Masculino y FUTBOL 5 Femenino.  Se jugarán 2 tiempos de 25 minutos. Los partidos estarán filmados y tendrán un seguimiento periodístico.  El complejo cuenta con instalaciones premium: excelente ubicación, estacionamiento, parrilla y buffet para un tercer tiempo, vestuarios masculinos y femeninos y el mejor ambiente.  Importantes premios.  Te esperamos para jugar en la noche del jueves.","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Colegios,    Parrilla,    Estacionamiento,    Seguridad,    WiFi,    TV", Tel.: 1144078990 Web: www.grunfc.com.ar,1 Sedes:  - Sede Nuñez: Grun 
,         Fútbol 5,"        Torneo Cristian ""Ogro"" Fabbiani.  Fútbol 5 en Zona Oeste - Zona Norte  Días de semana de 20 a 24 hs.     INSCRIPCIÓN GRATIS    Pelotas oficiales by Nassau  Árbitros Liga Senior A.F.A    Jugá con tus amigos y accedé al partido de las estrellas con el Ogro Fabbiani y sus amigos.","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Colegios", Tel.: 1124932390 Web: www.fiestadefutbol.com.ar,2 Sedes:  - Sede Olivos: Olivos - Sede San Justo: San Justo 
,         Fútbol 7,        Torneo de Fútbol 7 para estudiantes Universitarios  Cupos limitados,"      Vestuarios,    Bar / Restaurante,    Parrilla,    Estacionamiento", Tel.: 0351 15-539-5629 Web: https://www.facebook.com/lagran7cba/,1 Sedes:  - Sede Córdoba: Córdoba 
